timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1692823225553,sensor,all,1,38,263555121152,163500305644,163500305644
1692823226557,sensor,all,0,21,447991775232,164504191339,164504191339
1692823226557,sensor,all,1,38,282238386176,164504189606,164504189606
1692823227560,sensor,all,0,21,414317543424,165507779091,165507779091
1692823227560,sensor,all,1,38,283842707456,165507782442,165507782442
1692823228564,sensor,all,0,21,355798614016,166511093280,166511093280
1692823228564,sensor,all,1,38,287988776960,166511089226,166511089226
1692823229567,sensor,all,0,21,252715204608,167518551510,167518551510
1692823229567,sensor,all,1,38,275304415232,167518593222,167518593222
1692823230571,sensor,all,0,21,290805776384,168519056651,168519056651
1692823230571,sensor,all,1,38,259956670464,168519052363,168519052363
1692823231575,sensor,all,0,21,346563543040,169522998080,169522998080
1692823231575,sensor,all,1,38,269301055488,169523001240,169523001240
1692823232579,sensor,all,0,21,318266146816,170526393248,170526393248
1692823232579,sensor,all,1,38,263980056576,170526391906,170526391906
1692823233582,sensor,all,0,21,356156702720,171529410547,171529410547
1692823233582,sensor,all,1,38,281333465088,171529408272,171529408272
1692823234585,sensor,all,0,21,313591332864,172532587651,172532587651
1692823234585,sensor,all,1,38,252179120128,172532585062,172532585062
1692823235588,sensor,all,0,21,255626575872,173535441054,173535441054
1692823235588,sensor,all,1,38,250099269632,173535436394,173535436394
1692823236592,sensor,all,0,21,353451114496,174539319770,174539319770
1692823236592,sensor,all,1,38,258044592128,174539316648,174539316648
1692823237595,sensor,all,0,21,409299582976,175541772110,175541772110
1692823237595,sensor,all,1,38,265524609024,175541769919,175541769919
1692823238597,sensor,all,0,21,387248029696,176544532406,176544532406
1692823238597,sensor,all,1,38,294195822592,176544528160,176544528160
1692823239601,sensor,all,0,21,375247077376,177548040297,177548040297
1692823239601,sensor,all,1,38,310845898752,177548036857,177548036857
1692823240604,sensor,all,0,21,351809306624,178551698566,178551698566
1692823240604,sensor,all,1,38,302790475776,178551698197,178551698197
1692823241608,sensor,all,0,21,400181952512,179555515345,179555515345
1692823241608,sensor,all,1,38,279974248448,179555512066,179555512066
1692823242612,sensor,all,0,21,355710533632,180559003452,180559003452
1692823242612,sensor,all,1,38,256827195392,180559001071,180559001071
1692823243615,sensor,all,0,21,243137249280,181562837199,181562837199
1692823243615,sensor,all,1,38,256613548032,181562840230,181562840230
1692823244618,sensor,all,0,21,283713994752,182565053796,182565053796
1692823244618,sensor,all,1,38,243217203200,182565051892,182565051892
